"REC_NUM","FINALWT","AGYOWNK","LFSSTAT","PROV","CMA","AGE_12","SEX","MARSTAT","EDUC","IMMIG","EFAMTYPE","HRLYEARN","COWMAIN","PERMTEMP","FIRMSIZE","SURVYEAR","UNION","NOC_10","UTOTHRS","TENURE","HRSTOT"
92118,86,1,1,47,0,2,2,2,4,3,3,23.2834704562453,1,4,3,2018,1,4,30,15,1530
14339,139,0,1,47,0,2,1,6,3,3,4,16.5982404692082,1,3,2,2019,2,6,40,3,2040
81765,105,0,1,13,0,5,2,6,4,3,1,19.5792819745699,2,1,1,2018,2,6,40,118,2040
51258,167,0,1,46,6,2,2,6,5,3,14,21.7524980784012,1,3,3,2017,2,4,30,2,1530
98910,78,1,1,47,0,3,2,4,5,3,14,49.4879581151832,1,1,4,2018,1,4,35.3,73,1800.3
37879,141,0,1,24,0,2,1,6,4,3,18,31.1217008797654,1,1,4,2019,1,3,35,31,1785
24422,86,0,1,24,0,3,2,2,5,3,2,25.442483171279,2,1,4,2018,2,2,40,14,2040
30170,277,1,1,12,0,4,2,1,6,3,3,17.420958302853,2,1,4,2020,2,7,40,60,2040
86287,101,0,1,47,0,10,1,6,2,3,1,20.9150269023828,2,1,2,2017,2,7,50,132,2550
26512,524,1,2,24,1,4,1,2,2,3,3,21.1667913238594,2,1,4,2018,2,7,40,157,2000
36476,142,3,1,48,0,6,1,1,4,3,3,36.2289685442575,2,1,1,2020,2,8,40,240,2040
77886,75,0,1,24,0,3,1,6,2,3,8,27.4285923753666,2,1,4,2019,2,1,40,65,2040
69646,130,0,2,46,0,7,2,5,4,3,1,19.3473240469208,2,1,2,2019,2,7,40,2,2000
40774,53,0,2,11,0,3,2,6,5,3,2,36.2289685442575,1,1,4,2020,1,4,37.5,38,1837.5
5185,70,2,1,59,0,6,1,4,4,3,14,54.3812451960031,1,1,4,2017,1,5,26,124,1326
79910,129,0,1,13,0,10,1,1,4,3,2,28.983174835406,1,1,4,2020,1,5,40,240,2040
47941,208,0,1,13,0,11,1,1,2,3,5,13.5953112990008,2,2,1,2017,2,8,30,35,1530
